param n := 300;
param m := 6;


param p :=
1	245
2	200
3	185
4	370
5	240
6	225
7	220
8	220
9	210
10	240
11	320
12	305
13	245
14	220
15	210
16	265
17	145
18	280
19	185
20	285
21	215
22	245
23	340
24	310
25	180
26	225
27	160
28	220
29	295
30	270
31	220
32	145
33	310
34	260
35	230
36	265
37	425
38	230
39	180
40	205
41	295
42	210
43	260
44	280
45	130
46	205
47	180
48	225
49	200
50	280
51	195
52	360
53	200
54	185
55	140
56	315
57	260
58	225
59	225
60	250
61	70
62	85
63	60
64	70
65	65
66	75
67	60
68	70
69	75
70	65
71	70
72	65
73	80
74	60
75	85
76	65
77	80
78	75
79	90
80	70
81	60
82	75
83	75
84	65
85	65
86	115
87	70
88	70
89	75
90	70
91	65
92	115
93	75
94	70
95	75
96	70
97	75
98	70
99	85
100	60
101	80
102	85
103	95
104	80
105	65
106	70
107	65
108	65
109	85
110	70
111	70
112	60
113	60
114	65
115	65
116	70
117	75
118	60
119	95
120	60
121	70
122	60
123	80
124	70
125	65
126	95
127	95
128	60
129	75
130	60
131	70
132	75
133	70
134	65
135	85
136	70
137	65
138	70
139	40
140	60
141	65
142	90
143	60
144	65
145	60
146	60
147	60
148	70
149	65
150	65
151	65
152	65
153	80
154	65
155	70
156	80
157	70
158	70
159	65
160	70
161	65
162	60
163	65
164	60
165	65
166	75
167	65
168	75
169	65
170	90
171	80
172	65
173	80
174	75
175	110
176	65
177	40
178	75
179	70
180	60
181	70
182	75
183	60
184	65
185	70
186	80
187	40
188	60
189	195
190	145
191	125
192	185
193	245
194	120
195	195
196	140
197	150
198	135
199	160
200	130
201	140
202	165
203	215
204	160
205	190
206	135
207	120
208	200
209	180
210	205
211	145
212	245
213	215
214	150
215	140
216	155
217	155
218	150
219	115
220	120
221	75
222	85
223	140
224	70
225	80
226	125
227	65
228	65
229	90
230	65
231	125
232	85
233	70
234	70
235	65
236	70
237	65
238	85
239	95
240	60
241	70
242	70
243	75
244	85
245	95
246	115
247	130
248	110
249	120
250	65
251	65
252	65
253	60
254	75
255	120
256	125
257	110
258	60
259	95
260	80
261	95
262	90
263	90
264	95
265	115
266	95
267	80
268	120
269	85
270	115
271	90
272	115
273	150
274	95
275	75
276	110
277	125
278	75
279	95
280	115
281	115
282	90
283	115
284	115
285	80
286	115
287	135
288	80
289	125
290	80
291	80
292	110
293	115
294	85
295	85
296	95
297	95
298	85
299	95
300	85
;
