param n := 200;
param m := 6;


param p :=
1	270
2	200
3	150
4	305
5	165
6	135
7	190
8	305
9	245
10	215
11	165
12	130
13	300
14	260
15	285
16	145
17	330
18	290
19	140
20	135
21	160
22	335
23	150
24	290
25	260
26	205
27	380
28	125
29	225
30	220
31	310
32	280
33	235
34	195
35	265
36	235
37	210
38	220
39	220
40	150
41	60
42	85
43	95
44	65
45	75
46	60
47	70
48	75
49	75
50	70
51	80
52	80
53	65
54	60
55	70
56	85
57	75
58	75
59	60
60	70
61	80
62	60
63	65
64	70
65	80
66	65
67	90
68	60
69	70
70	65
71	65
72	65
73	75
74	80
75	60
76	75
77	65
78	75
79	90
80	70
81	70
82	80
83	85
84	65
85	65
86	40
87	65
88	90
89	85
90	75
91	60
92	65
93	95
94	65
95	80
96	60
97	75
98	75
99	60
100	75
101	80
102	80
103	75
104	65
105	65
106	60
107	70
108	40
109	70
110	60
111	60
112	95
113	35
114	110
115	80
116	60
117	65
118	95
119	40
120	65
121	70
122	65
123	80
124	60
125	40
126	150
127	165
128	200
129	120
130	135
131	180
132	145
133	205
134	220
135	180
136	135
137	165
138	220
139	215
140	230
141	120
142	130
143	235
144	180
145	135
146	90
147	70
148	60
149	85
150	190
151	75
152	75
153	75
154	85
155	80
156	95
157	85
158	155
159	75
160	65
161	85
162	70
163	75
164	95
165	60
166	65
167	70
168	120
169	130
170	85
171	110
172	75
173	75
174	90
175	70
176	95
177	85
178	120
179	85
180	95
181	125
182	130
183	95
184	135
185	115
186	135
187	125
188	95
189	110
190	90
191	120
192	130
193	115
194	115
195	80
196	95
197	110
198	90
199	110
200	90
;
