param n := 75;
param m := 6;


param p :=
1	235
2	270
3	265
4	240
5	240
6	180
7	405
8	250
9	250
10	305
11	275
12	245
13	220
14	285
15	320
16	80
17	65
18	60
19	80
20	65
21	80
22	75
23	65
24	110
25	65
26	65
27	65
28	85
29	60
30	75
31	65
32	60
33	65
34	65
35	65
36	75
37	65
38	80
39	90
40	60
41	75
42	70
43	65
44	90
45	60
46	60
47	85
48	180
49	120
50	225
51	160
52	155
53	155
54	185
55	185
56	70
57	80
58	60
59	75
60	80
61	60
62	95
63	90
64	80
65	95
66	130
67	115
68	140
69	110
70	95
71	125
72	120
73	90
74	95
75	115
;
